,condition,subject,likelihood,encoding_drift_rate,start_drift_rate,recall_drift_rate,shared_support,item_support,learning_rate,primacy_scale,primacy_decay,stop_probability_scale,stop_probability_growth,choice_sensitivity
0,control,0,689.9293690654446,0.672837978014376,0.7788042961953158,0.9564006015825178,0.3812156466623055,0.19292837826633163,0.7616467494710264,0.10862645921427767,70.45268916384603,9.652733893084078e-05,0.36349780749902616,6.139909833552852
1,control,1,409.7246911471452,0.730017294453295,0.21897430060933212,0.9521054741117835,0.16172716645072815,2.220446049250313e-16,0.761344414832994,3.3347205803673114,0.45246211842170037,0.01103301410691924,0.26663651628457147,2.091855979007362
2,control,2,689.8012194867935,0.7804230664121832,0.0959379781898816,0.9187906532394017,0.06095678391276106,2.220446049250313e-16,0.7110063528565012,6.132605992140041,88.65833965684598,0.007415252928107963,0.12764535771119054,1.7889101774559761
3,control,3,280.5149929245639,0.92259546547009,0.0034223391865215616,0.9977298146959737,0.0020842227382993185,2.220446049250313e-16,0.5012628730450456,100.0,51.927381495052,0.08006961737413348,0.0851749698772796,0.5067285410285252
4,control,4,666.5260785820128,0.5088580100092966,0.9929614295267511,0.874186598881833,0.4124733837776982,0.9999999999999998,0.35011155242416303,0.0631823850700679,72.99934007979634,0.0014597608995590844,0.23993645091816515,6.433157885225152
5,control,5,636.3177629199986,0.7255497827330121,2.220446049250313e-16,0.9669021681445363,0.2909641117987132,2.220446049250313e-16,0.9756813479862325,0.8641990461026428,38.19999037950119,0.002170547010857596,0.23905473524183452,4.420147773876047
6,control,6,322.4115525028024,0.970864803842398,0.7023134308601567,0.9994731295098289,0.0003019915461453154,0.6611569071923414,0.38335923593814686,11.301996682162757,61.998612975564726,0.054939193893401364,0.11077649440033822,0.402638858361489
7,control,7,599.0876197469806,0.8171538967538099,0.4924692390265358,0.9149780050769925,0.6250859735181142,2.220446049250313e-16,0.9999999999999998,0.6851683793532745,39.153738488545216,0.019157088357185513,0.10277230125223745,7.37561312628739
8,control,8,467.93406370921264,0.7446339948311089,0.12519675285459536,0.954000822945987,0.08621827208957103,2.220446049250313e-16,0.643370235585767,2.977594275037639,58.908420410516946,0.04121541185734054,0.03516705115674159,2.5748200310082328
9,control,9,844.2047628083694,0.5851237326671043,0.34485666164149437,0.9443253735545005,0.5968810934727278,0.2843368677661499,0.9245299460741843,0.062184748010903776,46.88311307362697,1.6899886904126494e-06,0.5665820962301005,4.6977069534660725
10,control,10,683.3555642481588,0.7178535061377896,0.6556212944155363,0.9415088864418601,0.40884481364244096,0.14478352878698006,0.9999999999999998,0.6821921761674999,90.37462738793084,0.0002004968626212727,0.2226918327327742,8.966468629262804
11,control,11,757.4808467428494,0.9715008012345968,0.9999921204705763,0.99756220093278,0.00031823753891762377,2.220446049250313e-16,0.24784629241213044,7.779668519759497,55.16522608641249,0.002179467584474898,0.20886793987222668,0.28958780251028704
12,control,12,893.703459519284,0.7553264120895005,2.220446049250313e-16,0.9542094389562641,0.28853728895052627,2.220446049250313e-16,0.8778593396449902,1.5833067349271894,69.2758795156987,0.0005167722053914463,0.2397008888997306,2.842243194453374
13,control,13,477.6060338248816,0.7017760896075822,0.2303043331864798,0.9803160402322513,0.5773820080876586,2.220446049250313e-16,0.7597549284175528,2.9204837002756987,69.25632982252836,0.0039047327321896836,0.2359380607955973,8.755694054928298
14,control,14,575.8561252551847,0.6600307926700667,0.40892185057629143,0.9578021941000603,0.5987189443379508,0.43857234918104326,0.9999999999999998,2.842871405626073,0.7206002087397629,0.005555828849060669,0.22825181283431872,3.6535663392492066
15,control,15,542.4567623950211,0.7626599953326963,0.6683982427260602,0.9557042658755093,0.4986275554724007,0.16529795394600322,0.9999999999999998,0.575250536840431,74.22442064312808,0.0012429387280745716,0.29463736984552186,7.812240514966844
16,control,16,554.6450742535344,0.6969473747062056,0.9033374976817835,0.9475092740883192,0.7520275632831884,0.3462434515732779,0.9999999999999998,0.11801104639622645,92.086191982773,0.0021311548904249964,0.25853245833484517,10.0
17,control,17,529.6608394149816,0.7902229954341973,0.9743248733106022,0.9752988301102123,0.11536166179417899,0.015483597598203391,0.9999999999999998,2.220446049250313e-16,7.304964797791458,0.007673991721998714,0.16003442703867368,2.8006126751523537
18,control,18,366.26485302480233,0.7999940179213697,0.9393376840729365,0.9999999999999998,0.7093730422930027,2.220446049250313e-16,0.9999999999999998,0.6756230996850777,77.01923942116295,0.025321630183362313,0.21153729659383594,4.290916963993102
19,control,19,559.8055002886093,0.7644975869748998,0.22726605930272165,0.9126242629015522,0.09015673175025109,2.220446049250313e-16,0.6220414324466091,13.022902993633815,99.21736856021938,0.012343810686724568,0.16349831535140152,1.3628264020641807
20,control,20,382.89585829654334,0.8112212468226497,0.45466796195919446,0.9982622131823876,0.21221168668359075,2.220446049250313e-16,0.9999999999999998,1.2713293890090331,46.337700238661064,0.03607165360301401,0.13751778265019773,2.6248496365158305
21,control,21,357.6332760468477,0.9409160091684398,0.5537014511195126,0.9999999999999998,0.01513305124209502,0.9953131172914607,0.16301124882013468,11.7072726990564,94.63708677758476,0.017583976553181235,0.2792435583425647,0.7114641074459582
22,control,22,414.4747555594363,0.13980757074936007,0.6640905502979072,0.931551834733735,2.220446049250313e-16,0.9999999999999998,0.3686452787871284,0.47048935879048187,77.91702642554085,0.025817650620818162,0.17968173447578478,7.088259769249942
23,control,23,597.7745390727853,0.9960597597741434,0.8171909748490201,0.9982133135502641,1.846890916348992e-05,0.4616216108724582,0.24556254704312364,5.673108248140879,42.01743342554414,0.0025921877757544413,0.24414706955066712,0.33752250589004845
24,control,24,352.9179160324983,0.8225487451541397,0.0031843866409889373,0.9566451624847789,2.220446049250313e-16,0.39765084689691804,0.7294961419187713,1.8235168739488114e-08,55.71699926259461,0.00762834318858203,0.38123868222972046,0.3558495508716218
25,control,25,296.33266725836404,0.9172369224699762,0.8294287057202551,0.9335905936410165,0.024093327254865727,0.9999999999999998,0.9999999999999998,1.1996659542537234,56.94419178013297,0.02289991291813819,0.304991229551708,0.8694174670948246
26,control,26,468.0270368970981,0.6404613117519165,0.340828977763189,0.8894183106867847,0.5141917852521405,2.220446049250313e-16,0.9999999999999998,1.4829850780531797,42.803634847283874,0.0055702534380644726,0.23069263938971107,10.0
27,control,27,373.14380811412116,0.7803729779984522,0.16290716289424328,0.96229554775773,0.25934846203049394,0.9068671843432016,0.500874094565048,3.4539441097429773,47.45181110865751,0.0038298525474042945,0.5058999920910671,2.016898937922125
28,control,28,425.6768120666241,0.9812834526720557,2.220446049250313e-16,0.9905524744277543,0.000557968118696151,0.28987830147599924,0.37693345485144786,3.7097341094601086,85.55197626458897,0.031675509803223846,0.12451736433942084,0.43545284069590173
29,control,29,634.1662500276897,0.7088475444218302,0.6963591050487102,0.8654606540503634,0.6300549651193251,0.47497186762551336,0.9999999999999998,0.019902408438876584,87.10374141416752,0.003074170533432777,0.21375107541736094,9.442134405934153
30,control,30,449.42242316411216,0.784331416766652,0.037989130965112014,0.9955035462501395,0.0076816746958321,2.220446049250313e-16,0.24382917402193305,100.0,0.4733155248941874,0.016917464927013088,0.19498864119729778,0.4150530010189276
31,control,31,501.71256549481063,0.6578631170829358,0.5504760728184894,0.9358043123146779,0.493011757754883,0.1890703713951077,0.9999999999999998,0.7501204861492581,66.87583374282428,0.005085381785248664,0.16768437008782724,9.936318338499847
32,control,32,624.7383700165315,0.7862205572343349,0.7647417338098246,0.9615277124343818,0.30792345222893736,0.09744388452445278,0.9999999999999998,0.2498516779579866,7.632470582130887,0.0022163501601226844,0.22169882329543233,5.052299539454425
33,control,33,476.1863557605646,0.7027032319903382,0.8430950291159834,0.7207745577644504,0.16065815369261,2.220446049250313e-16,0.9041693494434363,2.220446049250313e-16,65.27382410492201,0.014823023099681566,0.17936286021247402,3.0295759432101814
34,control,34,256.0981840044451,0.8576355141992622,0.17259042960071144,0.9788940738644685,0.022417107466868213,2.220446049250313e-16,0.4879135499277715,11.599531701606121,79.28766680986496,0.01548470409664268,0.4181000075617063,1.1240059100463708
35,massed,0,273.4034832138145,0.6323977757146372,0.8392460849895825,0.863781866236766,0.8903143120552529,0.2610839983807297,0.24749962632913503,0.9153328960772084,0.1939662608893837,0.0003035542807594443,0.42631316243141837,7.273347010682808
36,massed,1,277.38774013729176,0.9310002935078339,0.16128301756197866,0.9855103319472703,0.02962732372256136,2.220446049250313e-16,0.5334713984452643,53.01589305695035,40.80727033445149,0.022566997936211693,0.19472546268792681,0.8490050189480601
37,massed,2,393.65186902736855,0.5929195636515804,0.33935779866703764,0.789361122255565,0.36153186477988836,0.9086064376563778,0.21665364963298112,6.568945609129698,0.27434950479255066,0.00019228714344277702,0.4503431348387043,2.6820354849356756
38,massed,3,208.6837815566468,0.8242266562056496,0.017584264907644902,0.8958663849002925,0.020767691958969874,2.220446049250313e-16,0.18888294815363665,100.0,45.05771546800008,0.0801578206865643,0.12154332562605835,0.6351014602177746
39,massed,4,347.093016605079,0.6534584379430834,0.9975951301747467,0.933910325673931,0.0016993589870515859,0.5989565060975605,0.34264327718696186,9.842743003701345,0.8144329796850602,9.872606194126305e-05,0.560537000199406,1.2295933790071278
40,massed,5,391.52786502665424,0.769835166171304,0.1542936252119389,0.9535610957133931,0.9774398200596929,0.942911949870524,0.7121327995717749,2.2084604318587275,0.25712566663860076,5.241357320325714e-05,0.565137249700086,4.551678031849622
41,massed,6,146.01568478033388,0.8543205025986409,0.14980404522468113,0.9999999999999998,0.38270598238159087,0.40008736470500245,0.9764966539356895,82.11394986752273,84.49192159825805,0.06520860502309303,0.3380101614788331,1.3328765569475847
42,massed,7,346.78245869507,0.7944199852451866,0.4646763925761778,0.8803703730750897,0.6255614362201892,2.220446049250313e-16,0.07567412336276899,4.481459242516044,63.21890798005878,0.0033471279382393864,0.3662597647809113,2.637690603542418
43,massed,8,274.18679313257263,0.7053665654054804,0.6331303012089694,0.9996707454430206,0.48123138883014355,0.2476503497015654,0.538267265563536,2.26985930363392,47.88505974191359,0.020128368438435636,0.1539076130101673,4.403440148199887
44,massed,9,480.06340234410106,0.79327994385706,0.23053324390600785,0.99970987091397,0.6063003689267109,0.47525968256886736,0.06985950871954466,61.67756608719998,73.48262411213325,2.8997899455381933e-06,0.6968524295250644,1.2660220397925348
45,massed,10,197.7788638863579,0.8220488333350102,0.9607975486142275,0.8448705632845872,0.15087389667531348,0.5068544889585719,0.2181997326571679,0.4105231865468255,4.904322444219019,3.59657319172757e-05,0.49149699234949473,3.389835198538311
46,massed,11,396.22314552757797,0.7693145703509202,0.6101950533720251,0.9362311445247833,0.9511454668530809,0.15993599219591678,0.59240129019509,3.920649345673797,95.31292938804285,0.00043586971743006926,0.4298980721406478,4.894454788600386
47,massed,12,489.4451897890008,0.9358966832268393,0.09678727262721933,0.9779321472986101,0.5343904525429671,0.18505781031727642,0.6226591863340935,25.223713820163653,37.491074562172706,1.5345778905976247e-06,0.6923136554591994,1.7621943827486963
48,massed,13,303.86005253853614,0.6361395953354156,0.38015333090536707,0.9071926471318797,0.4920729635742817,2.220446049250313e-16,0.19053871053258148,6.628828741793737,0.8704622879095435,0.0006922512946167327,0.40611418176352027,4.224050737077256
49,massed,14,379.2832639770455,0.8170760267838882,0.7464710602113437,0.9203831991885987,0.9446945944311536,0.0001327173009830379,0.9320844903189291,3.236866512414465,95.35632472633111,0.0007538743690129878,0.39945976135708067,5.200463907956457
50,massed,15,342.04338842605375,0.8026914852566699,0.777226574692837,0.9797117825033856,0.9999999999999998,2.220446049250313e-16,0.5875366584606595,0.14775048134263738,68.92021601365899,0.001440789041626594,0.34117048002316713,6.559970055448643
51,massed,16,308.35524775763895,0.5750113849922996,0.9714528476209225,0.9086334472513838,0.236924467443532,0.528959338640013,0.2920634158545543,1.5576668664578248,0.26822081673246884,0.0001716513684565141,0.4725867388848428,3.6445908759837935
52,massed,17,332.7170271982066,0.8575124155351561,0.9977508748598043,0.9181346208022195,0.20727766480981566,0.926643151302416,0.9197799193406865,0.08363904855130545,18.35275943619515,5.397973548431038e-05,0.49134449797050916,3.007771998318626
53,massed,18,270.5035601485137,0.6891786209976537,0.7892119367299949,0.9475874467692535,0.9999999999999998,0.9999999999999998,0.08703810933610256,9.315279073915683,0.4895627451583844,0.015835836646038784,0.24478154295401564,2.7652560755975917
54,massed,19,409.6959350085535,0.7932802594059696,0.6170945960007387,0.9289981610234415,0.8087718544421391,0.6534559932613873,0.5414980056598766,3.47881229750425,63.57369456296759,0.00011656716406536813,0.532767054271703,3.73363494253418
55,massed,20,313.3889899573324,0.9361993004803775,0.9998411650608966,0.9751309081803724,0.031026980649166733,0.23667368399935543,0.8226365922016562,3.3872406640962063,60.744963295024014,0.021349062106702413,0.18218716856886522,0.5960062650154035
56,massed,21,314.6325864824805,0.6711306437146415,0.98594293605821,0.963396526604686,0.8036623446414979,0.1907890415348764,0.15824059158278556,1.3074626103983888,48.47536811810918,0.005179325404498633,0.3759338866568614,2.2043252028465767
57,massed,22,277.5813233442644,0.8711500749112626,0.052722817972325614,0.9999999999999998,0.23745363433847128,0.13743520973079587,0.3758287357034665,50.39454081287318,98.68479259303183,0.01579574957458673,0.3190774714995863,0.9542927648633982
58,massed,23,356.78488201085395,0.8584959126152087,0.08153603062296698,0.9811188179465918,0.11606576767030141,0.8711258565418275,0.25394005660260754,25.45240432864757,0.40662415635641647,0.0023045128622414595,0.32762362034495396,1.085807972008634
59,massed,24,213.11333790811386,0.7600830836104346,0.3839133185719552,0.8491939491847602,0.341637242652631,0.5942539974157179,0.9495427194089557,3.8055334050816065,61.04928749763646,4.359004903585657e-06,1.5132145156808958,4.951276187679443
60,massed,25,227.13056605752502,0.8313884656765852,0.9298917017759776,0.9904825735748243,0.6180793490245045,0.06561880094448436,0.9999999999999998,0.5310121245676318,60.41436945476002,0.02545335457741535,0.26785656917049516,3.612077574849406
61,massed,26,304.0966938583041,0.7761682197014426,0.7476307993807859,0.9487156634718724,0.7770550111934525,0.05225514766461282,0.9193743243822856,1.638492224298399,61.602605528536614,4.895643494712451e-05,0.5513650106347654,9.148179976681309
62,massed,27,245.9555193731914,0.7734750798390695,2.220446049250313e-16,0.9999999999999998,0.34171504133789166,0.50899346938413,0.6857453790050066,16.743260564417323,57.13417129768399,0.0015771147878470273,0.7815554523360453,0.9843496278233391
63,massed,28,216.14096912580453,0.8914517390825948,0.010324465701880364,0.9661089862404629,0.004248892473912537,0.9878884681123581,0.990253334176631,0.5627475123017838,94.49217373456744,0.03313904575706869,0.3393374492402722,0.3017744395348994
64,massed,29,359.9177082664073,0.8735867510414134,0.09504802186843041,0.7550219035583011,0.2437563989523707,0.580406612571713,0.6246389004440134,6.4532375085094795,65.58351717740804,0.0029029435586679316,0.2741897445086751,2.8114775878677154
65,massed,30,337.7954805728102,0.8032855356368706,0.4154262709225782,0.9588854168464459,0.9999999999999998,2.220446049250313e-16,0.5428034807361466,4.0927107563326945,41.33806456033583,0.010343599425266465,0.24591303560736968,4.263487970698964
66,massed,31,321.9159306884926,0.8004024739133944,0.8587586903702867,0.9861485535631538,0.469768828157379,0.14278797452583086,0.7465599348413798,1.1603181831208502,83.12243231736514,0.00033114527729893265,0.46704712053681263,4.219956768557462
67,massed,32,343.12301194526117,0.8443090805438848,0.798654848500697,0.9999999999999998,0.2916569960926272,0.1674548610838702,0.6108127459518565,4.077905919652773,26.51533445908819,0.003284181167316703,0.3148687061206075,2.1883631362263105
68,massed,33,301.8473588994043,0.8875999911514078,0.9995922469462503,0.8712053977303494,0.08373978986465709,0.7791112272834487,0.9999999999999998,0.2486730756093489,56.28405653440915,0.025806801484110815,0.18628826796590817,0.8761727653494346
